City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Sambava,MG,80.73,light rain,-14.2667,50.1667,Royal Sava Hôtel
402,Cabra,ES,73.56,clear sky,37.4725,-4.4421,Pensión Guerrero
411,Aljezur,PT,70.9,clear sky,37.3191,-8.8033,Vicentina Hotel
415,Presidencia Roque Saenz Pena,AR,76.82,overcast clouds,-26.7852,-60.4388,Hotel Presidente
419,Mersing,MY,77.61,broken clouds,2.4312,103.8405,Mersing Inn Hotel
420,Valparaiso,CL,73.63,clear sky,-33.0393,-71.6273,Ibis Hotel
422,Tabou,CI,85.8,broken clouds,4.423,-7.3528,hôtel le rochet
423,Eyl,SO,83.46,overcast clouds,7.9803,49.8164,فندق ايل دابي
424,Cobija,BO,77.18,light rain,-11.0267,-68.7692,Hotel El Cristo
425,Port-Gentil,GA,87.76,light rain,-0.7193,8.7815,Tara-Mé
427,Abu Dhabi,AE,79.95,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
430,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
439,Alice Springs,AU,70.21,scattered clouds,-23.7,133.8833,Aurora Alice Springs
442,Tucuman,AR,71.6,few clouds,-26.8241,-65.2226,Suites San Luis
445,Minab,IR,84.52,clear sky,27.1467,57.0801,هتل صدف
446,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
447,Mayumba,GA,79.07,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
448,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,losmen Surya
450,Puri,IN,84.72,clear sky,19.8,85.85,Divine Beach Homestay
455,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel Puerto Colombia
460,Cintalapa,MX,76.71,clear sky,16.6951,-93.7272,HotelLeos
461,Montepuez,MZ,75.9,light rain,-13.1256,38.9997,Complexo Messalo
462,Diego De Almagro,CL,73.69,clear sky,-26.3667,-70.05,Residencial Hambyll
465,Saquarema,BR,84.34,broken clouds,-22.92,-42.5103,Pousada Garota de Itaúna
469,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Central Hôtel
472,Sinnamary,GF,79.57,overcast clouds,5.3833,-52.95,Hôtel du fleuve
473,South Venice,US,83.05,clear sky,27.0531,-82.4243,Kon-Tiki Motel
478,Kawalu,ID,72.82,overcast clouds,-7.3817,108.2082,Hotel Surya
483,Luanda,AO,83.3,light rain,-8.8368,13.2343,Hotel Forum
484,Destin,US,77.0,broken clouds,30.3935,-86.4958,Destin Inn & Suites
487,Norcasia,CO,72.97,overcast clouds,5.5778,-74.8852,Hotel El Danubio
488,Santa Cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
489,Inirida,CO,83.8,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
490,Paramonga,PE,78.69,overcast clouds,-10.6667,-77.8333,Hotel Rico
492,Port Moresby,PG,76.42,overcast clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
505,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
513,Itaqui,BR,73.45,clear sky,-29.1253,-56.5531,Hotel Contursi
514,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Marfil del Amazonas
518,Tamandare,BR,85.5,overcast clouds,-8.7597,-35.1047,Pousada Baia dos Corais
520,Taltal,CL,70.57,scattered clouds,-25.4,-70.4833,Hostería Taltal
522,Mareeba,AU,75.92,scattered clouds,-17.0,145.4333,The Gateway Hotel
525,Guarapari,BR,82.89,scattered clouds,-20.6667,-40.4975,Osmar Hotel
534,Caravelas,BR,84.94,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
537,Sawakin,SD,82.4,clear sky,19.1059,37.3321,Hotel Halfa
540,Miandrivazo,MG,86.41,scattered clouds,-19.5167,45.4667,Baobab
542,Richards Bay,ZA,78.44,clear sky,-28.783,32.0377,Protea Hotel
546,Altagracia De Orituco,VE,83.35,overcast clouds,9.8601,-66.3814,Hotel El Canastro
548,Grand Gaube,MU,81.37,broken clouds,-20.0064,57.6608,Coco Villa
550,Nicoya,CR,82.51,overcast clouds,10.1483,-85.452,Hotel marianela
